Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
30,2,1005,1,3,3,5,4,0,3,1,6,1,2,2657,5,1,11,3,3,8.0,3,5,2.0,0.0,4.0,1
41,2,896,2,6,3,1,4,0,3,3,3,4,2,13591,3,1,18,3,3,16.0,3,1,0.0,0.0,0.0,0
30,1,334,2,26,4,2,3,0,2,2,7,1,2,6696,5,0,15,3,3,9.0,2,6,3.0,0.0,1.0,1
29,2,992,1,1,3,5,3,1,3,1,6,3,2,2058,0,0,14,3,4,7.0,2,6,2.0,1.0,5.0,1
45,0,1052,2,6,3,3,4,0,2,3,7,4,2,8865,6,0,12,3,4,23.0,3,18,7.0,7.5,8.0,0
54,2,1147,2,3,3,2,4,0,3,2,7,1,1,5940,2,0,14,3,4,16.0,3,6,2.0,0.0,5.0,0
36,2,1396,1,5,2,1,4,1,3,2,2,2,2,5914,8,0,16,3,4,16.0,4,13,11.0,3.0,7.0,0
33,2,147,1,4,4,3,3,0,2,1,6,2,1,2622,6,0,21,4,4,7.0,3,3,2.0,1.0,1.0,0
37,1,663,1,11,3,4,2,1,3,3,5,4,0,12185,1,1,14,3,3,10.0,3,10,8.0,0.0,7.0,0
38,2,119,2,3,3,1,1,1,3,3,7,3,0,10609,0,0,12,3,3,17.0,2,16,10.0,5.0,13.0,0
31,0,979,1,1,4,3,3,1,1,2,4,3,1,4345,0,0,12,3,4,6.0,3,5,4.0,1.0,4.0,0
59,2,142,1,3,3,1,3,1,2,1,6,4,1,2177,3,0,17,3,1,7.0,3,1,0.0,0.0,0.0,0
37,1,319,2,4,4,2,1,1,3,1,8,4,0,2793,4,0,17,3,3,13.0,3,9,8.0,5.0,8.0,0
29,1,1413,2,1,1,3,2,0,3,3,7,4,1,7918,1,0,14,3,4,11.0,3,11,10.0,4.0,1.0,0
35,1,944,2,1,3,2,3,0,3,3,7,3,2,8789,1,0,14,3,1,10.0,4,10,7.0,0.0,8.0,0
29,2,896,1,18,1,3,3,1,2,1,6,4,2,2389,1,1,13,3,3,4.0,2,4,3.0,0.0,1.0,1
52,2,1323,1,2,3,1,3,0,2,1,2,4,2,3212,7,0,15,3,2,6.0,2,2,2.0,2.0,2.0,0
42,2,532,1,4,2,5,3,1,3,5,3,4,1,16581,1,0,11,3,4,22.0,3,18,14.5,7.5,14.5,0
59,2,818,0,6,2,3,2,1,3,1,1,3,1,2267,8,0,17,3,4,7.0,2,2,2.0,2.0,2.0,0
50,2,854,2,1,4,3,4,0,3,5,3,4,0,16581,3,0,11,3,3,28.5,2,7,0.0,0.0,6.0,0
33,2,813,1,14,3,3,3,1,3,1,2,4,1,2436,5,1,13,3,3,8.0,1,5,4.0,0.0,4.0,1
43,2,1034,2,16,3,2,4,0,3,4,3,4,1,16064,5,1,22,4,3,22.0,3,17,13.0,1.0,9.0,0
33,2,465,1,2,2,1,1,0,3,1,2,1,1,2707,7,0,20,4,1,13.0,4,9,7.0,1.0,7.0,1
52,0,771,2,2,4,1,1,1,2,5,3,3,2,16581,1,1,18,3,4,28.5,4,18,7.0,7.5,12.0,0
32,2,1401,2,4,2,1,3,0,3,1,8,2,1,3931,2,0,11,3,1,6.0,3,4,3.0,1.0,2.0,0
32,2,515,1,1,3,1,4,1,2,1,2,3,2,3730,0,1,14,3,4,4.0,1,3,2.0,1.0,2.0,1
39,2,1431,1,1,4,3,3,0,3,1,2,3,0,2232,7,0,14,3,3,7.0,3,3,2.0,1.0,2.0,0
32,0,976,2,26,4,2,3,1,3,2,7,4,1,4465,0,0,18,3,1,4.0,3,3,2.0,2.0,2.0,0
41,2,1411,1,19,2,1,3,1,3,2,6,1,0,3072,2,0,16,3,1,17.0,2,1,0.0,0.0,0.0,0
40,2,1300,1,24,2,5,1,1,3,2,6,4,0,3319,1,0,17,3,1,9.0,3,9,8.0,4.0,7.0,0
45,2,252,1,1,3,4,3,1,4,5,3,4,1,16581,0,0,11,3,3,25.0,3,18,0.0,1.0,7.0,0
31,1,1327,1,3,4,3,2,1,3,3,5,3,0,13675,9,0,12,3,1,9.0,3,2,2.0,2.0,2.0,0
33,2,832,1,5,4,1,3,0,2,1,6,4,1,2911,1,0,13,3,3,2.0,2,2,2.0,0.0,2.0,0
34,2,470,1,2,4,1,4,1,2,2,4,1,1,5957,6,0,13,3,2,13.0,3,11,9.0,5.0,9.0,0
37,2,1017,1,1,2,3,3,0,2,1,6,1,1,3920,2,0,14,3,1,17.0,2,3,1.0,0.0,2.0,0
45,1,1199,1,7,4,1,1,1,4,2,4,3,1,6434,4,0,17,3,4,9.0,3,3,2.0,0.0,2.0,0
37,1,504,1,10,3,3,1,1,3,3,4,3,0,10048,6,0,11,3,2,17.0,3,1,0.0,0.0,0.0,1
39,1,505,1,2,4,5,3,0,3,3,0,3,2,10938,0,0,25,4,4,20.0,3,18,6.0,7.5,8.0,0
29,2,665,1,15,3,1,3,1,3,1,6,4,2,2340,1,0,19,3,1,6.0,3,6,5.0,1.0,5.0,0
42,2,916,1,17,2,1,4,0,4,2,6,1,2,6545,3,1,13,3,3,10.0,3,3,2.0,0.0,2.0,0
29,2,1247,2,20,2,2,4,1,3,2,7,4,0,6931,2,0,14,3,4,10.0,3,3,2.0,0.0,2.0,0
25,2,685,1,1,3,1,1,0,3,2,4,3,1,4898,0,0,12,3,4,5.0,3,4,2.0,1.0,2.0,0
42,2,269,1,2,3,3,4,0,2,1,2,1,0,2593,0,1,11,3,3,10.0,3,9,6.0,7.0,8.0,0
40,2,1416,1,2,2,3,1,1,3,5,5,3,0,16581,0,0,19,3,4,22.0,3,18,7.0,3.0,9.0,0
51,2,833,1,1,3,1,3,1,3,1,6,4,1,2723,1,0,11,3,2,1.0,2,1,0.0,0.0,0.0,0
31,1,307,1,29,2,3,3,1,2,1,2,2,2,3479,0,0,11,3,2,6.0,4,5,4.0,1.0,4.0,1
32,1,1311,1,7,3,1,2,1,4,1,2,2,1,2794,1,0,20,4,3,5.0,1,5,1.0,0.0,3.0,0
38,0,1327,2,2,2,1,4,1,2,2,7,4,1,5249,3,0,18,3,4,13.0,3,8,7.0,7.0,5.0,0
32,2,128,1,2,1,5,4,1,2,2,2,1,2,2176,4,0,13,3,4,9.0,3,6,2.0,0.0,4.0,0
46,2,488,2,2,3,5,3,0,1,4,3,2,1,16581,3,1,12,3,2,28.0,2,7,7.0,7.0,7.0,0
28,2,529,1,2,4,1,1,1,3,1,2,3,2,3485,2,0,11,3,3,5.0,1,0,0.0,0.0,0.0,1
29,2,1210,2,2,3,3,1,1,2,2,7,2,1,6644,2,0,19,3,2,10.0,3,0,0.0,0.0,0.0,0
31,2,1463,1,23,3,3,2,1,2,2,0,4,1,5582,0,0,21,4,2,10.0,3,9,0.0,7.0,8.0,0
25,0,675,1,5,2,1,2,1,4,2,0,1,0,4000,1,0,12,3,4,6.0,3,6,3.0,1.0,5.0,0
45,2,1385,1,20,2,3,3,1,3,4,0,4,1,13496,0,1,14,3,2,21.0,3,18,7.0,4.0,10.0,0
36,2,1403,1,6,3,1,4,1,3,1,2,4,1,3210,0,0,11,3,3,16.0,3,15,13.0,7.5,11.0,0
55,2,452,1,1,3,3,4,1,3,5,3,1,2,16581,0,1,14,3,3,28.5,3,18,10.0,4.0,13.0,0
47,0,666,1,29,4,1,1,1,3,3,3,2,1,11849,1,1,12,3,4,10.0,2,10,7.0,7.5,9.0,1
28,2,1158,1,9,3,3,4,1,3,1,6,4,1,2070,1,0,23,4,4,5.0,2,5,2.0,0.0,4.0,0
37,2,228,2,6,4,3,3,1,3,2,7,4,1,6502,4,0,14,3,2,7.0,4,5,4.0,0.0,1.0,0
21,2,996,1,3,2,3,4,1,2,1,6,3,2,3230,1,0,17,3,1,3.0,4,3,2.0,1.0,0.0,0
37,0,728,1,1,4,3,1,0,3,3,5,4,0,13603,2,1,18,3,1,15.0,3,5,2.0,0.0,2.0,0
35,2,1315,1,22,3,1,2,0,4,3,3,2,0,11996,7,0,18,3,2,10.0,2,7,7.0,6.0,2.0,0
38,2,322,2,7,2,3,1,0,4,2,7,1,0,5605,1,1,24,4,3,8.0,3,8,0.0,7.0,7.0,0
26,1,1479,1,1,3,1,3,0,3,2,4,2,0,6397,1,0,20,4,1,6.0,1,6,5.0,1.0,4.0,0
50,2,797,1,4,1,1,1,1,3,5,5,2,0,16581,3,0,14,3,1,28.0,2,10,4.0,1.0,6.0,0
53,2,1070,1,3,4,3,3,1,3,4,5,3,1,16581,3,1,16,3,4,21.0,2,5,3.0,1.0,3.0,0
42,2,635,2,1,1,1,2,1,3,2,7,3,1,4907,1,0,25,4,3,20.0,3,18,14.5,7.5,6.0,0
29,1,442,2,2,2,1,2,1,3,2,7,4,2,4554,1,0,18,3,1,10.0,2,10,7.0,0.0,9.0,0
55,2,147,1,20,2,5,2,1,3,2,2,4,1,5415,3,1,19,3,4,12.0,3,10,7.0,0.0,8.0,0
26,1,496,1,11,2,3,1,1,3,2,0,1,1,4741,1,1,13,3,3,5.0,3,5,3.0,3.0,3.0,0
37,2,1372,1,1,3,1,4,0,3,1,6,4,2,2115,1,0,12,3,2,17.0,3,17,12.0,5.0,7.0,0
44,1,920,1,24,3,1,4,1,3,1,2,3,0,3161,3,1,22,4,4,19.0,1,1,0.0,0.0,0.0,1
38,2,688,1,23,4,1,4,1,3,2,0,4,0,5745,9,0,14,3,2,10.0,3,2,2.0,1.0,2.0,0
26,2,1449,1,16,4,3,1,1,3,1,2,2,0,2373,2,1,13,3,4,5.0,3,3,2.0,0.0,2.0,1
28,2,1117,1,8,2,1,4,0,3,1,6,4,2,3310,1,0,21,4,4,5.0,3,5,3.0,0.0,2.0,0
49,1,636,1,10,4,1,3,0,3,5,5,1,2,16581,9,1,11,3,4,22.0,3,3,2.0,1.0,2.0,0
36,2,506,1,3,3,5,3,1,3,2,6,2,2,4485,4,0,12,3,4,10.0,3,8,0.0,7.0,7.0,0
31,1,444,2,5,3,2,4,0,3,1,8,2,0,2789,1,0,11,3,3,2.0,2,2,2.0,2.0,2.0,0
26,2,950,2,4,4,2,4,1,2,2,7,4,2,5828,1,1,12,3,2,8.0,3,8,7.0,7.0,4.0,1
37,1,889,1,9,3,3,2,1,3,1,6,4,1,2326,1,1,12,3,3,4.0,2,4,2.0,1.0,2.0,0
42,1,555,2,26,3,2,3,0,3,4,7,2,1,13525,5,0,14,3,4,23.0,4,18,4.0,4.0,8.0,0
18,2,230,1,3,3,1,3,1,3,1,2,3,2,1420,1,0,13,3,3,0.0,3,0,0.0,0.0,0.0,1
35,2,1232,2,16,3,2,3,1,3,3,7,2,1,8020,0,0,15,3,3,12.0,2,11,9.0,6.0,9.0,0
36,1,566,1,18,4,1,3,1,4,1,2,4,1,3688,4,0,18,3,4,4.0,3,1,0.0,0.0,0.0,0
51,2,1302,1,2,3,3,4,1,1,2,4,2,0,5482,5,0,18,3,4,13.0,3,4,1.0,1.0,2.0,0
41,2,334,2,2,4,1,4,1,3,4,3,2,2,16015,1,0,19,3,2,22.0,3,18,10.0,0.0,4.0,0
18,2,812,2,10,3,3,4,0,2,1,8,3,2,1200,1,0,12,3,1,0.0,3,0,0.0,0.0,0.0,0
28,2,1476,1,16,2,3,2,1,4,2,0,1,2,5661,0,0,19,3,3,9.0,3,8,3.0,0.0,7.0,0
31,2,218,2,7,3,5,2,1,4,2,7,4,1,6929,4,0,11,3,2,10.0,2,8,7.0,7.0,7.0,0
39,2,1132,1,1,3,3,3,1,4,3,0,4,0,9613,0,0,17,3,1,19.0,2,18,10.0,3.0,7.0,0
36,0,1105,1,24,4,1,2,0,3,2,2,2,1,5674,7,0,15,3,3,11.0,3,9,8.0,0.0,8.0,0
32,2,906,2,7,3,1,4,1,2,2,7,3,1,5484,1,0,14,3,3,13.0,2,13,8.0,4.0,8.0,0
38,2,849,1,25,2,1,1,0,2,3,5,2,1,12061,3,0,17,3,3,19.0,3,10,8.0,0.0,1.0,0
58,0,390,1,1,4,1,4,1,1,2,0,3,0,5660,2,1,13,3,4,12.0,3,5,3.0,1.0,2.0,0
31,2,691,1,5,4,5,3,1,3,1,6,4,1,4821,0,1,12,3,3,6.0,3,5,2.0,0.0,3.0,0
31,2,106,0,2,3,0,1,1,2,2,1,1,1,6410,3,0,12,3,4,9.0,3,2,2.0,1.0,0.0,0
45,1,1249,1,7,3,1,1,1,3,3,2,1,0,5210,1,0,18,3,1,24.0,3,18,9.0,7.5,11.0,0
31,2,192,1,2,4,1,3,1,3,1,6,4,0,2695,0,1,18,3,2,3.0,1,2,2.0,2.0,2.0,0
33,1,553,1,5,4,1,4,0,3,3,3,2,1,11878,6,0,11,3,2,12.0,3,10,6.0,7.5,8.0,0
39,2,117,1,10,1,3,3,1,3,4,3,1,1,16581,1,1,14,3,4,21.0,3,18,9.0,7.5,10.0,0
43,1,185,1,10,4,1,3,0,3,1,2,4,2,2455,0,0,19,3,1,9.0,3,8,7.0,1.0,7.0,0
49,2,1091,1,1,2,5,3,0,2,4,0,3,2,13964,7,1,12,3,4,25.0,3,7,1.0,0.0,7.0,0
52,2,723,1,8,4,3,3,1,2,2,6,2,1,4941,2,0,15,3,1,11.0,2,8,2.0,7.0,7.0,1
27,2,1220,1,5,3,1,3,0,3,1,6,2,2,2478,1,1,12,3,2,4.0,2,4,3.0,1.0,2.0,0
32,2,588,2,8,2,5,3,0,2,2,7,2,1,5228,1,1,11,3,4,13.0,3,13,12.0,7.5,9.0,0
27,2,1377,2,2,3,1,4,1,3,2,7,3,2,4478,1,1,11,3,1,5.0,3,5,4.0,0.0,4.0,0
31,2,691,2,7,3,2,4,1,3,2,7,4,0,7547,4,0,12,3,4,13.0,3,7,7.0,1.0,7.0,0
32,2,1018,1,2,4,3,1,0,4,2,6,4,2,5055,7,0,16,3,3,10.0,2,7,7.0,0.0,7.0,0
28,2,1157,1,2,4,3,1,1,1,1,6,4,1,3464,5,1,13,3,4,5.0,2,3,2.0,2.0,2.0,1
30,2,1275,1,28,2,3,4,0,3,2,6,4,1,5775,1,0,13,3,4,11.0,3,10,8.0,1.0,9.0,0
31,1,798,1,7,2,1,3,0,2,3,4,3,1,8943,1,0,24,4,1,10.0,3,10,9.0,7.5,9.0,0
39,1,672,1,7,2,3,3,1,2,5,3,4,1,16581,1,0,15,3,1,21.0,3,18,9.0,7.5,3.0,0
39,2,1162,2,3,2,3,4,0,3,2,7,3,1,5238,4,1,18,3,1,12.0,2,1,0.0,0.0,0.0,1
33,1,508,2,10,3,2,2,1,2,2,7,4,2,4682,3,0,14,3,3,9.0,2,7,7.0,0.0,1.0,0
47,2,1482,1,5,5,1,4,1,3,5,5,3,1,16581,4,0,11,3,2,21.0,3,3,2.0,1.0,1.0,0
43,1,559,1,10,4,1,3,0,2,2,2,3,0,5257,1,0,11,3,2,9.0,4,9,7.0,0.0,0.0,0
27,0,210,2,1,1,2,3,1,3,2,7,2,1,6349,0,1,13,3,4,6.0,3,5,4.0,1.0,4.0,0
54,1,928,1,20,4,1,4,0,3,2,6,3,2,4869,3,0,12,3,4,20.0,2,4,3.0,0.0,3.0,0
43,2,1001,1,7,3,1,3,0,3,3,0,1,1,9985,8,0,16,3,1,10.0,2,1,0.0,0.0,0.0,0
45,2,549,1,8,4,4,4,1,3,2,6,4,1,3697,9,0,14,3,1,12.0,3,10,9.0,7.5,8.0,0
40,2,1124,2,1,2,3,2,1,1,2,7,4,1,7457,2,1,22,4,3,6.0,2,4,3.0,0.0,2.0,0
29,2,318,1,8,4,4,2,1,1,1,2,1,1,2119,1,1,11,3,4,7.0,2,7,7.0,0.0,7.0,1
29,2,738,1,9,5,4,2,1,2,1,2,4,2,3983,0,0,17,3,3,4.0,3,3,2.0,2.0,2.0,0
30,2,570,2,5,3,2,4,0,2,2,7,3,0,6118,1,0,13,3,3,10.0,3,10,9.0,1.0,2.0,0
27,2,1130,2,8,4,2,2,0,3,2,7,2,1,6214,1,0,18,3,1,8.0,3,8,7.0,0.0,7.0,0
37,2,1192,1,5,2,3,4,1,3,2,4,4,0,6347,7,0,16,3,3,8.0,2,6,2.0,0.0,4.0,0
38,2,343,1,15,2,1,3,1,2,3,5,4,0,11510,0,1,14,3,2,12.0,3,11,10.0,2.0,9.0,0
31,2,1232,1,7,4,3,3,0,3,3,4,4,2,7143,1,1,14,3,3,11.0,2,11,9.0,4.0,10.0,0
29,2,144,2,10,1,2,4,0,2,2,7,2,0,8268,1,1,14,3,1,7.0,3,7,7.0,1.0,7.0,0
35,2,1296,1,5,4,5,3,1,3,3,4,2,2,8095,0,0,13,3,4,17.0,3,16,6.0,0.0,13.0,0
23,2,1309,1,26,1,1,3,1,3,1,6,4,0,2904,1,0,12,3,3,4.0,2,4,2.0,0.0,2.0,0
41,2,483,1,6,3,3,4,1,2,2,4,2,2,6032,6,1,15,3,4,8.0,3,5,4.0,1.0,2.0,0
47,1,1309,2,4,1,3,2,1,3,2,8,3,2,2976,3,0,19,3,1,5.0,3,0,0.0,0.0,0.0,0
42,2,810,1,23,5,1,1,0,3,4,5,4,2,15992,2,0,14,3,2,16.0,3,1,0.0,0.0,0.0,0
29,0,746,2,2,3,1,4,1,3,2,7,3,1,4649,1,0,14,3,1,4.0,2,4,3.0,0.0,2.0,0
42,2,544,0,2,1,5,3,1,3,1,1,3,0,2696,0,1,11,3,3,4.0,3,3,2.0,1.0,0.0,0
32,2,1062,1,2,3,3,3,0,3,1,2,2,1,2370,1,0,13,3,3,8.0,3,8,0.0,0.0,7.0,0
48,2,530,2,29,1,3,1,0,3,3,3,3,1,12504,3,0,21,4,2,15.0,1,0,0.0,0.0,0.0,0
37,2,1319,1,6,3,3,3,1,4,2,6,1,0,5974,4,1,13,3,1,13.0,3,7,7.0,6.0,7.0,0
30,0,641,2,25,2,5,4,0,3,2,7,3,1,4736,7,1,12,3,2,4.0,4,2,2.0,2.0,2.0,0
26,2,933,2,1,3,1,3,1,3,2,7,3,1,5296,1,0,17,3,2,8.0,3,8,7.0,7.0,7.0,0
42,2,1332,1,2,4,4,1,1,2,2,0,4,2,6781,3,0,23,4,2,14.0,3,1,0.0,0.0,0.0,0
21,1,756,2,1,1,5,1,0,2,1,8,2,2,2174,1,1,11,3,3,3.0,3,3,2.0,1.0,2.0,1
36,0,845,2,1,5,3,4,0,3,2,7,4,2,6653,4,0,15,3,2,7.0,3,1,0.0,0.0,0.0,0
36,1,541,2,3,4,3,1,1,2,3,7,4,1,9699,4,0,11,3,1,16.0,3,13,9.0,1.0,12.0,0
57,2,593,1,1,4,3,4,1,3,2,0,3,1,6755,2,0,11,3,3,15.0,3,3,2.0,1.0,2.0,0
40,2,1171,1,10,4,1,4,0,4,1,2,3,1,2213,3,1,13,3,3,10.0,3,7,7.0,1.0,7.0,0
21,0,895,2,9,2,3,1,1,3,1,8,4,2,2610,1,0,24,4,3,3.0,2,3,2.0,2.0,2.0,0
33,2,350,2,5,3,2,4,0,3,1,8,3,2,2851,1,1,13,3,2,1.0,3,1,0.0,0.0,0.0,1
37,2,921,1,10,3,3,3,0,3,1,2,1,1,3452,6,0,20,4,2,17.0,3,5,4.0,0.0,3.0,0
46,0,1144,1,7,4,3,3,0,3,2,4,3,1,5258,2,0,14,3,3,7.0,4,1,0.0,0.0,0.0,0
41,1,143,2,4,3,2,1,1,3,2,7,2,2,9355,1,0,18,3,3,8.0,3,8,7.0,7.0,7.0,1
50,2,1046,1,10,3,5,4,1,2,3,0,4,2,10496,6,0,15,3,4,20.0,3,4,3.0,1.0,3.0,0
40,2,575,2,22,2,2,3,1,2,2,7,3,1,6380,2,1,12,3,1,8.0,3,6,4.0,1.0,0.0,1
31,2,408,1,9,4,1,3,1,2,1,6,2,2,2657,0,1,16,3,4,3.0,3,2,2.0,2.0,2.0,0
21,2,156,2,12,3,1,3,0,4,1,8,2,2,2716,1,0,15,3,4,1.0,3,1,0.0,0.0,0.0,1
29,2,1283,1,23,3,1,4,1,3,1,6,4,2,2201,9,0,16,3,4,6.0,3,3,2.0,1.0,2.0,0
35,2,755,1,9,4,1,3,1,2,2,0,2,2,6540,9,0,19,3,3,10.0,3,1,1.0,0.0,0.0,0
27,2,1469,1,1,2,3,4,1,3,1,2,2,0,3816,1,0,11,3,2,5.0,3,5,2.0,0.0,4.0,0
28,2,304,2,9,4,1,2,1,3,2,7,4,2,5253,1,0,16,3,4,7.0,3,7,5.0,0.0,7.0,0
49,2,1261,1,7,3,4,2,1,2,3,0,3,2,10965,8,0,24,4,3,26.0,3,5,2.0,0.0,0.0,0
51,2,1178,2,14,2,1,3,0,3,2,7,4,1,4936,4,0,11,3,3,18.0,2,7,7.0,0.0,7.0,0
36,2,329,1,2,3,1,4,0,3,1,6,3,1,2543,4,0,13,3,2,6.0,3,2,2.0,2.0,2.0,0
34,0,1362,2,19,3,2,1,1,4,2,7,4,2,5304,8,1,13,3,2,9.0,2,5,2.0,0.0,4.0,1
55,2,1311,1,2,3,1,3,0,3,4,3,4,2,16581,2,1,13,3,3,28.5,3,5,4.0,1.0,2.0,0
24,2,1371,2,10,4,2,4,0,3,2,7,3,0,4260,1,1,12,3,4,5.0,4,5,2.0,0.0,3.0,0
30,2,202,2,2,1,5,3,1,3,1,8,2,1,2476,1,0,18,3,1,1.0,3,1,0.0,0.0,0.0,0
26,1,575,1,3,1,5,3,1,3,1,6,1,2,3102,0,0,22,4,3,7.0,3,6,4.0,0.0,4.0,1
22,2,253,1,11,3,3,1,0,3,1,6,2,1,2244,1,0,13,3,4,2.0,3,2,1.0,1.0,2.0,0
36,2,164,2,2,2,3,2,1,2,3,7,3,1,7596,1,0,13,3,2,10.0,3,10,9.0,7.5,0.0,0
30,1,464,1,4,3,5,3,1,3,1,6,4,2,2285,9,1,23,4,3,3.0,3,1,0.0,0.0,0.0,1
37,2,1107,1,14,3,1,4,0,3,1,2,1,0,3034,1,0,12,3,3,18.0,2,18,7.0,7.5,14.5,0
40,2,759,2,2,2,2,4,0,3,2,7,2,0,5715,7,0,12,3,3,8.0,3,5,4.0,1.0,3.0,0
42,2,201,1,1,4,1,2,0,3,1,2,1,0,2576,3,0,16,3,2,8.0,3,5,2.0,1.0,2.0,0
37,2,1305,1,10,4,1,3,1,3,2,4,2,2,4197,2,1,12,3,4,18.0,2,1,0.0,0.0,1.0,0
43,2,982,1,12,3,1,1,1,2,4,5,2,0,14336,1,0,11,3,3,25.0,3,18,10.0,3.0,9.0,0
40,2,555,1,2,3,3,2,0,2,2,2,3,1,3448,6,0,22,4,2,20.0,3,1,0.0,0.0,0.0,0
54,2,821,1,5,2,3,1,1,3,5,5,1,1,16581,4,0,11,3,3,24.0,2,4,2.0,1.0,2.0,0
34,0,1381,2,4,4,2,3,0,3,2,7,3,1,6538,9,0,15,3,1,6.0,3,3,2.0,1.0,2.0,0
31,2,480,1,7,2,3,2,0,3,2,4,1,1,4306,1,0,12,3,2,13.0,1,13,10.0,3.0,12.0,0
43,1,313,1,21,3,3,4,1,3,1,2,4,1,2258,7,0,20,4,1,8.0,3,3,2.0,1.0,2.0,0
43,2,1473,1,8,4,4,3,0,3,2,0,3,0,4522,4,1,14,3,4,8.0,3,5,2.0,0.0,2.0,0
25,2,891,2,4,2,1,2,0,2,2,7,4,2,4487,1,1,11,3,2,5.0,3,5,4.0,1.0,3.0,0
37,0,1063,1,25,5,3,2,0,3,2,6,3,1,4449,3,1,15,3,1,15.0,3,13,11.0,7.5,7.0,0
31,2,329,1,1,2,1,4,1,2,1,2,1,1,2218,1,0,12,3,3,4.0,3,4,2.0,3.0,2.0,0
39,1,1218,1,1,1,1,2,1,3,5,3,3,0,16581,1,1,14,3,3,21.0,3,18,8.0,1.0,6.0,0
56,1,906,2,6,3,1,3,0,4,4,7,1,1,13212,9,0,11,3,4,28.5,2,7,7.0,7.0,7.0,0
30,2,1082,2,12,3,5,2,0,3,2,7,3,2,6577,0,0,11,3,2,6.0,3,5,4.0,4.0,4.0,0
41,2,645,2,1,3,2,2,1,4,3,7,1,1,8392,1,0,16,3,3,10.0,3,10,7.0,0.0,7.0,0
28,2,1300,1,17,2,3,3,1,3,2,2,1,0,4558,1,0,12,3,4,10.0,3,10,0.0,1.0,8.0,0
25,2,688,1,3,3,3,1,1,3,1,2,1,1,4031,5,0,13,3,3,6.0,3,2,2.0,0.0,2.0,1
52,2,319,1,3,3,3,4,1,2,3,4,3,1,7969,2,1,14,3,3,28.0,3,5,4.0,0.0,4.0,0
45,2,192,1,10,2,1,1,1,3,1,6,4,1,2654,3,0,21,4,4,8.0,2,2,2.0,0.0,2.0,0
52,2,1490,1,4,2,1,4,0,3,4,3,4,1,16555,2,0,13,3,4,28.5,1,5,2.0,1.0,4.0,0
42,1,532,1,29,2,1,1,0,3,2,6,3,0,4556,2,0,11,3,2,19.0,3,5,4.0,0.0,2.0,0
30,2,317,1,2,3,1,3,0,1,2,4,4,2,6091,2,0,20,4,3,11.0,3,5,4.0,0.0,2.0,0
60,2,422,1,7,3,1,1,0,3,5,3,1,1,16581,5,0,11,3,4,28.5,1,18,8.0,7.5,10.0,0
46,2,1485,1,18,3,3,3,0,3,2,4,3,0,4810,2,0,14,3,3,19.0,2,10,7.0,0.0,8.0,0
42,1,1368,1,28,4,5,4,0,2,2,0,4,1,4523,0,0,11,3,4,7.0,4,6,5.0,0.0,4.0,0
24,2,1448,2,1,1,5,1,0,3,1,8,2,2,3202,1,1,16,3,2,6.0,3,5,3.0,1.0,4.0,1
34,1,296,2,6,2,2,4,0,1,1,8,3,0,2351,0,0,16,3,4,3.0,2,2,2.0,1.0,0.0,1
38,1,1490,1,2,2,1,4,1,3,1,2,4,1,1702,1,1,23,4,3,1.0,3,1,0.0,0.0,0.0,0
40,2,1398,2,2,4,1,3,0,3,5,3,3,1,16581,0,0,14,3,4,21.0,3,18,14.5,1.0,12.0,0
26,2,1349,1,23,3,1,1,0,3,1,6,4,0,2886,1,0,22,4,2,3.0,1,3,2.0,0.0,2.0,0
30,0,1400,1,3,3,1,3,1,3,1,2,4,1,2097,4,0,15,3,3,9.0,1,5,3.0,1.0,4.0,0
29,2,986,1,3,4,3,2,1,2,3,5,3,1,11935,1,0,18,3,3,10.0,3,10,2.0,0.0,7.0,0
29,2,408,1,25,5,5,3,0,2,1,6,2,1,2546,5,0,16,3,2,6.0,4,2,2.0,1.0,1.0,1
19,2,489,0,2,2,5,1,1,2,1,1,4,2,2564,1,0,12,3,3,1.0,4,1,0.0,0.0,0.0,1
30,0,1398,2,22,4,4,3,0,3,3,7,1,1,8412,0,0,11,3,3,10.0,3,9,8.0,7.0,8.0,0
57,2,210,2,29,3,2,1,1,2,4,3,4,0,14118,3,0,12,3,3,28.5,2,1,0.0,0.0,0.0,0
50,2,1099,1,29,4,1,2,1,2,4,3,3,1,16581,0,0,15,3,2,28.0,3,18,10.0,7.5,7.0,0
30,0,1116,1,2,3,3,3,0,3,1,2,4,2,2564,0,0,14,3,3,12.0,2,11,7.0,6.0,7.0,0
60,1,1499,2,28,3,2,3,0,2,3,7,1,1,10266,4,0,19,3,4,22.0,4,18,13.0,7.5,11.0,0
47,2,983,1,2,2,3,1,0,3,2,4,4,0,5070,5,0,13,3,3,20.0,3,5,0.0,0.0,4.0,0
46,2,1009,1,2,3,1,1,1,3,4,5,3,1,16581,6,0,13,3,3,26.0,1,3,2.0,0.0,1.0,0
35,2,144,1,22,3,1,4,1,1,1,2,3,2,4230,0,0,15,3,3,6.0,3,5,4.0,4.0,3.0,0
